LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.5 on Sun Jun 11 11:09:05 PDT 2017
 1389 atoms
 30 bonds
 0 angles
 0 dihedrals
 0 impropers
 11 atom types
 1 bond types
 0 angle types
 0 dihedral types
 0 improper types
 1.888016 45.664017  xlo xhi
 -2.144076 41.615922  ylo yhi
 -0.021506 27.658494  zlo zhi

# Pair Coeffs
#
# 1  Ca
# 2  Cb
# 3  Cc
# 4  Cd
# 5  Cg
# 6  H
# 7  Mg
# 8  Oa
# 9  Ob
# 10  Oc
# 11  Og

 Masses

 1 12.011000 # Ca
 2 12.011000 # Cb
 3 12.011000 # Cc
 4 12.011000 # Cd
 5 12.011000 # Cg
 6 1.008000 # H
 7 24.305000 # Mg
 8 15.999000 # Oa
 9 15.999000 # Ob
 10 15.999000 # Oc
 11 15.999000 # Og

 Atoms

1 1 11 -0.325600 19.152388 29.153452 2.320000 # Og 
2 1 5 0.651200 19.152388 29.153452 1.160000 # Cg 
3 1 11 -0.325600 19.152388 29.153452 0.000000 # Og 
4 2 11 -0.325600 13.681389 38.626453 2.320000 # Og 
5 2 5 0.651200 13.681389 38.626453 1.160000 # Cg 
6 2 11 -0.325600 13.681389 38.626453 0.000000 # Og 
7 3 11 -0.325600 30.096001 10.207000 2.320000 # Og 
8 3 5 0.651200 30.096001 10.207000 1.160000 # Cg 
9 3 11 -0.325600 30.096001 10.207000 0.000000 # Og 
10 4 11 -0.325600 24.625002 19.680000 2.320000 # Og 
11 4 5 0.651200 24.625002 19.680000 1.160000 # Cg 
12 4 11 -0.325600 24.625002 19.680000 0.000000 # Og 
13 5 11 -0.325600 30.096388 29.153452 2.320000 # Og 
14 5 5 0.651200 30.096388 29.153452 1.160000 # Cg 
15 5 11 -0.325600 30.096388 29.153452 0.000000 # Og 
16 6 11 -0.325600 24.625387 38.626453 2.320000 # Og 
17 6 5 0.651200 24.625387 38.626453 1.160000 # Cg 
18 6 11 -0.325600 24.625387 38.626453 0.000000 # Og 
19 7 11 -0.325600 41.040001 10.207000 2.320000 # Og 
20 7 5 0.651200 41.040001 10.207000 1.160000 # Cg 
21 7 11 -0.325600 41.040001 10.207000 0.000000 # Og 
22 8 11 -0.325600 35.569000 19.680000 2.320000 # Og 
23 8 5 0.651200 35.569000 19.680000 1.160000 # Cg 
24 8 11 -0.325600 35.569000 19.680000 0.000000 # Og 
25 9 11 -0.325600 41.040386 29.153452 2.320000 # Og 
26 9 5 0.651200 41.040386 29.153452 1.160000 # Cg 
27 9 11 -0.325600 41.040386 29.153452 0.000000 # Og 
28 10 11 -0.325600 35.569389 38.626453 2.320000 # Og 
29 10 5 0.651200 35.569389 38.626453 1.160000 # Cg 
30 10 11 -0.325600 35.569389 38.626453 0.000000 # Og 
31 11 11 -0.325600 8.208000 10.207000 2.320000 # Og 
32 11 5 0.651200 8.208000 10.207000 1.160000 # Cg 
33 11 11 -0.325600 8.208000 10.207000 0.000000 # Og 
34 12 11 -0.325600 46.513000 19.680000 2.320000 # Og 
35 12 5 0.651200 46.513000 19.680000 1.160000 # Cg 
36 12 11 -0.325600 46.513000 19.680000 0.000000 # Og 
37 13 11 -0.325600 8.208385 29.153452 2.320000 # Og 
38 13 5 0.651200 8.208385 29.153452 1.160000 # Cg 
39 13 11 -0.325600 8.208385 29.153452 0.000000 # Og 
40 14 11 -0.325600 46.513390 38.626453 2.320000 # Og 
41 14 5 0.651200 46.513390 38.626453 1.160000 # Cg 
42 14 11 -0.325600 46.513390 38.626453 0.000000 # Og 
43 15 11 -0.325600 19.152000 10.207000 2.320000 # Og 
44 15 5 0.651200 19.152000 10.207000 1.160000 # Cg 
45 15 11 -0.325600 19.152000 10.207000 0.000000 # Og 
46 16 6 0.186000 23.398062 37.097843 22.712994 # H LIG
47 16 6 0.186000 28.529060 30.732845 18.235992 # H LIG
48 16 6 0.186000 28.505062 28.451845 24.192993 # H LIG
49 16 6 0.186000 27.286060 30.087845 20.400993 # H LIG
50 16 6 0.186000 10.296674 0.991393 21.867992 # H LIG
51 16 6 0.186000 30.210060 37.762844 22.837994 # H LIG
52 16 6 0.186000 31.421062 36.944843 18.100994 # H LIG
53 16 6 0.186000 21.333061 36.784843 19.557993 # H LIG
54 16 6 0.186000 23.297060 35.640846 20.527992 # H LIG
55 16 6 0.186000 42.357674 0.895393 18.805994 # H LIG
56 16 6 0.186000 32.281673 1.050393 17.348993 # H LIG
57 16 6 0.186000 34.243675 2.191393 23.295994 # H LIG
58 16 6 0.186000 39.514675 9.393394 19.663994 # H LIG
59 16 6 0.186000 34.349674 0.736393 21.112993 # H LIG
60 16 6 0.186000 39.535675 7.122394 18.690994 # H LIG
61 16 6 0.186000 41.148674 0.075392 20.986994 # H LIG
62 16 6 0.186000 21.234060 36.839844 21.959993 # H LIG
63 16 6 0.186000 38.199677 7.754394 23.422993 # H LIG
64 16 7 1.560000 26.851061 33.809845 18.408993 # Mg LIG
65 16 7 1.560000 28.410061 34.723843 23.022993 # Mg LIG
66 16 7 1.560000 26.833061 35.615845 20.716993 # Mg LIG
67 16 7 1.560000 37.779675 2.228392 23.105993 # Mg LIG
68 16 7 1.560000 37.793674 4.042393 18.494993 # Mg LIG
69 16 7 1.560000 39.353676 3.123393 20.800993 # Mg LIG
70 16 3 0.456000 27.957062 31.715845 23.336994 # Cc LIG
71 16 2 -0.314000 24.453060 36.095844 17.347994 # Cb LIG
72 16 4 -0.234000 23.337061 36.768845 23.750994 # Cd LIG
73 16 2 -0.314000 22.199060 37.042843 17.589993 # Cb LIG
74 16 4 -0.234000 28.233061 29.301846 23.563993 # Cd LIG
75 16 4 -0.234000 28.256062 30.573845 24.110992 # Cd LIG
76 16 1 0.900000 25.584061 35.841843 23.344994 # Ca LIG
77 16 3 0.456000 29.661060 36.736843 21.030994 # Cc LIG
78 16 2 -0.314000 27.621061 31.504845 21.958994 # Cb LIG
79 16 4 -0.234000 27.587061 30.197845 21.442993 # Cd LIG
80 16 2 -0.314000 27.901062 29.076845 22.209993 # Cb LIG
81 16 4 -0.234000 9.709674 0.311393 21.246994 # Cd LIG
82 16 4 -0.234000 30.488060 37.586845 21.796993 # Cd LIG
83 16 1 0.900000 27.282063 32.608845 21.033993 # Ca LIG
84 16 3 0.456000 24.463060 35.687843 18.721992 # Cc LIG
85 16 2 -0.314000 30.018061 36.539845 19.655994 # Cb LIG
86 16 4 -0.234000 31.168060 37.162846 19.138992 # Cd LIG
87 16 2 -0.314000 10.082674 0.115392 19.898994 # Cb LIG
88 16 4 -0.234000 22.216061 36.620846 18.936993 # Cd LIG
89 16 4 -0.234000 23.310061 35.971844 19.487993 # Cd LIG
90 16 1 0.900000 29.233061 35.692844 18.731995 # Ca LIG
91 16 3 0.456000 35.409676 2.154393 18.180992 # Cc LIG
92 16 2 -0.314000 40.959675 1.300393 24.167994 # Cb LIG
93 16 4 -0.234000 42.104675 0.678393 17.766994 # Cd LIG
94 16 2 -0.314000 21.022060 37.716843 23.926994 # Cb LIG
95 16 4 -0.234000 33.165676 1.216393 17.967995 # Cd LIG
96 16 4 -0.234000 34.256676 1.867393 17.416992 # Cd LIG
97 16 1 0.900000 40.176674 2.158393 18.171993 # Ca LIG
98 16 3 0.456000 38.909676 6.131393 20.491993 # Cc LIG
99 16 2 -0.314000 35.401676 1.746393 19.554993 # Cb LIG
100 16 4 -0.234000 34.286674 1.065393 20.074993 # Cd LIG
