LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.5 on Tue Apr 04 10:45:30 PDT 2017
 1305 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 10 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 0.439550 26.456750  xlo xhi
 0.332838 45.395937  ylo yhi
 -0.387750 26.927729  zlo zhi

# Pair Coeffs
#
# 1  CH4
# 2  Ca
# 3  Cb
# 4  Cc
# 5  Cd
# 6  H
# 7  Ni
# 8  Oa
# 9  Ob
# 10  Oc

 Masses

 1 16.040001 # CH4
 2 12.011000 # Ca
 3 12.011000 # Cb
 4 12.011000 # Cc
 5 12.011000 # Cd
 6 1.008000 # H
 7 58.693001 # Ni
 8 15.999000 # Oa
 9 15.999000 # Ob
 10 15.999000 # Oc

 Atoms

1 1 1 0.000000 26.017300 45.062775 18.210001 # CH4 
2 2 1 0.000000 26.017300 45.062775 0.000000 # CH4 
3 3 1 0.000000 26.017300 45.062775 9.105000 # CH4 
4 4 1 0.000000 26.017300 22.531775 18.210001 # CH4 
5 5 1 0.000000 26.017300 22.531775 0.000000 # CH4 
6 6 1 0.000000 26.017300 22.531775 9.105000 # CH4 
7 7 1 0.000000 13.008301 45.062775 18.210001 # CH4 
8 8 1 0.000000 13.008301 45.062775 0.000000 # CH4 
9 9 1 0.000000 13.008301 45.062775 9.105000 # CH4 
10 10 9 0.000000 23.941000 21.823999 20.945980 # Ob LIG
11 10 9 0.000000 10.932000 44.355999 20.945980 # Ob LIG
12 10 9 0.000000 23.941000 6.803000 23.221979 # Ob LIG
13 10 9 0.000000 10.932000 29.334000 23.221979 # Ob LIG
14 10 10 0.000000 23.514999 7.995000 20.491980 # Oc LIG
15 10 10 0.000000 10.506000 30.527000 20.491980 # Oc LIG
16 10 8 0.000000 22.554001 7.442000 18.022980 # Oa LIG
17 10 8 0.000000 9.546000 29.973000 18.022980 # Oa LIG
18 10 8 0.000000 22.554001 22.462999 22.575979 # Oa LIG
19 10 8 0.000000 9.546000 44.993999 22.575979 # Oa LIG
20 10 8 0.000000 21.304001 8.301000 22.575979 # Oa LIG
21 10 8 0.000000 8.295000 30.833000 22.575979 # Oa LIG
22 10 9 0.000000 21.164000 9.821000 20.945980 # Ob LIG
23 10 9 0.000000 8.155000 32.353001 20.945980 # Ob LIG
24 10 10 0.000000 21.184000 20.701000 20.491980 # Oc LIG
25 10 10 0.000000 8.176000 43.233002 20.491980 # Oc LIG
26 10 8 0.000000 21.184999 21.809999 18.022980 # Oa LIG
27 10 8 0.000000 8.176000 44.341000 18.022980 # Oa LIG
28 10 9 0.000000 19.938000 20.927999 23.221979 # Ob LIG
29 10 9 0.000000 6.930000 43.459999 23.221979 # Ob LIG
30 10 9 0.000000 19.087999 16.624001 22.302979 # Ob LIG
31 10 9 0.000000 6.079000 39.155998 22.302979 # Ob LIG
32 10 10 0.000000 18.681999 13.676000 22.756979 # Oc LIG
33 10 10 0.000000 5.673000 36.207001 22.756979 # Oc LIG
34 10 8 0.000000 17.841000 15.743000 20.672979 # Oa LIG
35 10 8 0.000000 4.833000 38.275002 20.672979 # Oa LIG
36 10 10 0.000000 17.841999 16.851000 18.204979 # Oc LIG
37 10 10 0.000000 4.833000 39.382999 18.204979 # Oc LIG
38 10 10 0.000000 10.506000 0.485000 18.214979 # Oc LIG
39 10 10 0.000000 23.514999 23.017000 18.214979 # Oc LIG
40 10 10 0.000000 10.506000 15.506000 22.767979 # Oc LIG
41 10 10 0.000000 23.514999 38.036999 22.767979 # Oc LIG
42 10 9 0.000000 10.932000 14.313000 18.668980 # Ob LIG
43 10 9 0.000000 23.941000 36.845001 18.668980 # Ob LIG
44 10 9 0.000000 15.085000 0.708000 20.026979 # Ob LIG
45 10 9 0.000000 2.076000 23.239000 20.026979 # Ob LIG
46 10 9 0.000000 15.085000 15.729000 17.750980 # Ob LIG
47 10 9 0.000000 2.077000 38.259998 17.750980 # Ob LIG
48 10 10 0.000000 15.511000 14.536000 20.480980 # Oc LIG
49 10 10 0.000000 2.503000 37.068001 20.480980 # Oc LIG
50 10 8 0.000000 16.471001 15.090000 22.948978 # Oa LIG
51 10 8 0.000000 3.463000 37.620998 22.948978 # Oa LIG
52 10 8 0.000000 16.471001 0.069000 18.396980 # Oa LIG
53 10 8 0.000000 3.463000 22.601000 18.396980 # Oa LIG
54 10 8 0.000000 17.722000 14.230000 18.396980 # Oa LIG
55 10 8 0.000000 4.713000 36.762001 18.396980 # Oa LIG
56 10 9 0.000000 17.862000 12.710000 20.026979 # Ob LIG
57 10 9 0.000000 4.853000 35.242001 20.026979 # Ob LIG
58 10 10 0.000000 17.841000 1.831000 20.480980 # Oc LIG
59 10 10 0.000000 4.833000 24.362000 20.480980 # Oc LIG
60 10 8 0.000000 17.841000 0.722000 22.948978 # Oa LIG
61 10 8 0.000000 4.833000 23.254000 22.948978 # Oa LIG
62 10 9 0.000000 19.087000 1.603000 17.750980 # Ob LIG
63 10 9 0.000000 6.079000 24.135000 17.750980 # Ob LIG
64 10 9 0.000000 19.938000 5.907000 18.668980 # Ob LIG
65 10 9 0.000000 6.930000 28.438999 18.668980 # Ob LIG
66 10 9 0.000000 2.076000 8.218000 22.302979 # Ob LIG
